composer,composer_cyrillic,gender,birth,death,currently,diaspora,studied,taught,worked,member_of_National_Union_of_Composers_of_Ukraine,sources,personal_website,in_contact
"ABRAMSKY, Oleksandr","Абрамський, Олександр",Male,"January 22nd, 1898 in Lutsk, Ukraine","August 29th, 1985 in Moscow, Russia",-,-,MSC (1927) comp with M. Myaskovsky,various music schools ,"folklorist, music critic",-,"Ho (3), Musicalics, Piirainen, Shank (49–50), UME (I: 19–20), Vodarsky (9)",-,-
"AKIMENKO, Theodore","Якименко, Федір",Male,"February (Julian calendar)/September (Gregorian) 20th or 22nd, 1876* (sources conflict on the date 20th or 22nd) in Pisky, Kharkiv (brother is Yakov Stepovyi)","January 3rd, 1945 in Paris, France (on his grave marked “Ukrainian composer”)",-,"Prague, Czech (1924), Nice then Paris France (1926-45)","Imperial Chapel in St Petersburg (1990) comp with Balakirev & Lyapunov, SPSC (1900) comp with Liadov & Rimsky-Korsakov","director of a music school in Tbilisi (1901-03), SPSC (1914-1923) taught Igor Stravinsky, Drahomanov Ukrainian Institute of Higher Education (1924-26)","pianist in France, Switzerland (1903-06), wrote “A Practical Course in Harmony” (1926)",-,"Baley, Gnativ (14), Grove, Ho (8-9), IEU, Mukha (340-41), Shank (52), Slonimsky (98), Sonevystky (91-92), UASP, UL, Vilkova (352-53), Vodarsky (11), VUE",-,-
"ALBUL, Oleksandr","Албул, Олександр",Male,"January 2nd, 1955 in Vynnyky, Lviv Oblast, Ukraine",-,-,-,"LNMA (1984) comp with D. Zádor, (1996) Master in instrument repair",LNU (1984–1996),-,joined (1999),"ESU, Mukha (12), UME (I: 41), Vilkova (6), NUCU website, 2006 (74)",-,via email 
"ALMASHI, Zoltan","Алмаші, Золтан",Male,"1975 in Lviv, Ukraine (musical family, violinists)",-,-,-,"LNMA (1998) vlc, (1999) comp with Y. Laniuk, NMAU (2002)Phd with comp with Y. Stankovych; Private studies 2008 in Poland with A. Larson",NMAU,"vlc soloist with Kyiv Camerata (2000–), Ricochet Contemporary Music Ensemble (2000–), Nostri Temporis (2007–), & New Music Ukraine, founder & artistic director of Levko Revutsky String Quartet (2018–) & Gulfstream Chamber Music Festival (2012–)",joined (2001),"ESU, Gnativ (15), Mukha (14), UL, UMW, Vilkova (9), VUE, NUCU website, 2006 (9)",-,via email 
"ANDRIEVA, Olena","Андрєєва, Олена",Female,"June 15th, 1914 in St Petersburg, Russia","June 6th, 2007 in Kyiv, Ukraine",-,-,"Luhansk Mechanical Engineering Technicum (1935), NMAU (1945) history/theory, comp with L. Revutsky",NMAU & KLMS (19442–67) music theory ,"Luhansk steam locomotive plant, editor for Soviet Composers (1960-90), Mystetystvo (1963–90), Muzychna Ukraina (1967–90), author of theory textbook & music dictionary",joined (1945),"Dyntynyak (15), Karas (763), Mukha (15 –16), Rozhok, Shank (58), Sonevytsky (13), UME (I: 63–64), VUE, 1968 (3–4) 1978 (4) 1984 (5), 2006 (9)",-,-
"ANDROSYUK, Petro","Андросюк, Петро",Male,"July 25th, 1912 in Kharkiv, Ukraine","1976 or 1978 in Kharkiv, Ukraine",-,-,"KhNUA (1946) music theory, comp with S. Bogatyrov","KhMS (1946–71), KhNUA (1950–71) music theory",-,-,"ESU, Mukha (16–17), UME (I: 67)",-,-
"ANTONYUK, Valeriy","Антонюк, Валерій",Male,"August 11th, 1979 in Derenkovets, Cherkasy oblast, Ukraine",-,-,-,"GKIM (1998) folk instruments sopilka & dulcimer, NMAU (2003) & (2008) comp with G. Liashenko; Private studies: comp with V. Kyreyko  ",-,"pianist, composer",joined (2004),"ESU, Mukha (17), UL, NUCU website, 2006 (10)",-,via email 
"AREDO, Diana","Аредо, Діана",Female,"July 10th, 1994 in Donetsk, Ukraine",-,Germany,Germany,"Belarusian State Academy of Music pno, NMAU (2018) pno, Musikhochschule Lübeck (2021) pno",-,accompanist at the Belarusian State Academy of Music (2014–17),-,-,-,via email
"ARKHYPOVA, Olena","Архипова, Олена",Female,"1985 in Dnipro, Ukraine",-,-,-,"LuC (2005) pno, (2010) & (2012) comp with S. Turneev","Luhansk Music School no. 2 (2010–2014), DAM (2016–)","lecturer & musicologist at Luhansk Philharmonic (2010), announcer for “Pulse” Luhansk Radio (2011)","joined (2015), president of Dnipro branch (2020–)",-,-,via email 
"ARKUSHYNA, Anna","Аркушина, Анна ",Female,"1989 in Lutsk, Ukraine",-,"Graz, Austria",Austria,"Kyiv Special Music College (2009) theory, comp with A. Zagaykevych, NMAU (2014) comp with Y. Stankovych, University of Music & Performing Arts Graz (2017) comp with B. Furrer, IEM Graz (2019) studied with M. Cicilliani & D. Mayer, IRCAM (2023) Cursus Program in Composition & Computer Music, University of Music & Performing Arts Graz (2024) comp with F. Bedrossian; Private lessons with D. Kourliandski, C. Bauckholt, S. Gervasoni",-,artist-in-residence at Kulturstiftung Schloss Wiepersdorf in Germany (2024),-,"LCP, UCMF",https://www.annaarkushyna.com/,-
"AVIDOM (MAHLER-KALKSTEIN), Menahem","Авідом, Менахем",Male,"January 6th, 1908 in Stanislav [Modern: Ivano-Frankivsk], Ukraine","August 5th, 1995 in Tel-Aviv, Israel (moved in 1925)",-,Israel,"American University in Beirut (1928), Paris Conservatory (1931) comp with H. Rabaud",Tel-Aviv Conservatory (1937–45),"music critic, secretary general of Israel Philharmonic Orchestra (1945–52), chair of Israel Composers’ League (1958–71), general director of ACUM - Israel Authors & Composers Association (1955–80)",-,"Grove, Ho (34), ICL, IMI, JMRC, Musicalics, Shank (63–64), Slonimsky (I: 213), VUE",-,-
"AZAROVA, Svitlana","Азарова, Світлана",Female,"January 9th, 1976 in Izmail, Odesa oblast, Ukraine",-,"Hague, Holland",Holland,"Izmail Pedagogical Institute (1996) music education, ONMA (2000) comp with K. Tsepkolenko, Amsterdam conservatoire (2006) comp with T. Loevendie",-,-,joined (2000),"ESU, Gnativ (16–17), Karas (456), LCP, Mukha (12), Musicalics, NMU, UME (I: 31), Shank (65–66), UMW, Vilkova (6), NUCU website, 2006 (78)",https://azarova.com/,via email 
"BABENKO, Yuriy","Бабенко, Юрій",Male,"1967 in Borova, Kyiv oblast",-,-,-,"KSMC (1989) folk instruments, NMAU (1995) comp with Y. Ishchenko",Music school in Boyarka (2006-),-,joined (1994),"Mukha (19-20), NUCU website, 2006 (10)",-,via email 
"BALEY, Virko","Балей, Вірко",Male,"October 21st, 1938 in Radekhiv, Lviv oblast, Ukraine",-,"Las Vegas, Nevada USA (family moved to USA in 1949)* Baley originally relocated to Slovakia with his mother when his father was sent to Auschwitz during WWII",USA,"Los Angeles Conservatory of Music (1960), (1962) comp with E. Voorhies","Jacyk Fellow at Harvard Ukrainian Research Institute, University of Nevada (1970–?), University of Las Vegas, California Institute of the Arts (1966–1970)","director/conductor Las Vegas Chamber Players (1974-?) & Las Vegas Symphony (1980–?), founder/director Nevada Symphony Orchestra (1980–95), guest conductor/music advisor Kyiv Camerata (1995–?), published musicology articles",joined (date unknown),"Baley, Dytynyak (17), ESU, Gnativ (17–18), Grove, Herman (I: 20), Karas, Korniy, Kubikovyc (I: 165) LCP, Mukha (21), Shank (73), Sonevytskyi (16–17), UCMF, UDC, UME (I: 128–29), UMW, Vilkova (16), VUE, NUCU website, 2006 (101)",https://www.virkobaley.com/,via email 
"BEDUSENKO, Sergei","Бедусенко, Сергій",Male,"May 10th, 1962 in Chernivtsi, Ukraine",-,-,-,NMAU (1979) comp with L. Kolodub,-,-,joined (1982),"ESU, Gnativ (18), Korniy, Mukha (25), Rozhok, Shank (77–78), Sonevytskyi (23), UME (I: 163), NUCU website, 1984 (10–11), 2006 (10)",www.bedusenko.com,via email 
"BEKIROV, Usein","Бекіров, Усеін",Male,"February 22nd, 1982 in Fergana, Uzbekistan (in 1990 his family moved back to their homeland of Simferopol, Crimea. He became a citizen of Crimea in 2000)",-,-,-,"NMAU Bachelor (2007) vln, Masters (2020) comp with I. Shcherbakov, (2021) comp with I. Shcherbakov, (2022) Phd “Crimean Folk Songs in the Practice of Academic and Jazz Composers”; Private Studies: comp with his father Ryza Bekirov","LNMA (2023–) head of jazz department, NMAU (2023–)","pianist, sound producer",joined (2021),NUCU Website,-,via email 
"BESEDINA, Valeriya","Бєсєдіна, Валерія",Female,"August 29th, 1964 in Lviv, Ukraine",-,Russia,Russia,"MSC (1989), (1991) comp with T. Khrennikov",-,"pianist, poet, visual artist",-,"Mukha (31), UME (I: 190), Sonevytskyi (28–29)",-,via email 
"BEZBORODKO, Oleg","Безбородько, Олег",Male,"April 3rd, 1973 in Kyiv, Ukraine",-,-,-,"GKIM (1991) pno, NMAU (1998) pno, Neuchâtel Conservatory (2002) pno, NMAU (2006) comp with G. Liashenko & L .Kolodub, (2010) Phd “National-Verbal Factor of Musical Creativity” supervisor M. Kovalinas",NMAU (2002–) pno,"chairman of piano competitions such as “All-Ukrainian Open Prokofiev Piano Competition”, concert pno",joined (2006),"Gnativ (18-20), Korniy, Rozhok, UCMF, UL, UMW, NUCU website",https://www.olegbezborodko.com,via email 
"BEZUHLOV, Nikolay","Безуглов, Николай",Male,"August 8th, 1957 in Dmitrievka, Kyrgyzstan (His family fled Ukraine due to WWII and moved back to Ukraine in 1969)",-,-,-,"Kirovograd Pedagogical Institute (1978) music education, ONMA (1985) comp with O. Krasotov",-,"Military musician (1980–88), musical director of Odesa puppet theater (1988–1991), sound engineer at Odesa State Tv and Radio company (1991-2018), head of music department of Odesa Theatre of Young Spectators (2018–)",joined (1989),"ESU, Mukha (28), Sonevytskyi (28), UME (I: 165), NUCU website, 2006 (79)",-,via email 
"BIBIK, Valentin","Бібік, Валентин",Male,"July 19th, 1940 in Kharkiv, Ukraine","July 7th, 2003 in Tel-Aviv, Israel (moved in 1997)",-,Israel,KhNUA (1966) comp with D. Klebanov,"KhNUA (1966–1994) head of comp (1991–94), St. Petersburg Academy of Arts (1994–2001), TAU (1998–2003)",-,"joined (1968), head of Kharkiv branch (1989–93)","Baley, Dytynyak (21–22), ESU, Gnativ (20–21), Ho (57), Karas, Korniy, Mukha (31–32), Rozhok, Shank (81), Sonevytskyi (28–29), UL, UME (I: 195–96), UMW, Vilkova (24–26), NUCU website, 1978 (10), 1984 (11–12)",-,-
"BIELAI, Yanina","Бєлай, Яніна",Female,"October 23rd, 1988 in Dnipro, Ukraine",-,-,-,"KhNUA (2014) comp with V. Muzhchyl, University of Munich (2021) comp with J. Mueller-Wieland, LNMA (2023–) Phd","Kamyanske Music College (2014–2015), Munich & Dachau music schools (2020–2022), LNMA (2023–)",ballet pianist for Lesya Ukrainka Musical Drama Theatre in Kamyanske (2014–2018),joined (2017),NUCU Website,-,via email 
"BILA, Kateryna","Біла, Катерина",Female,"October 7th, 1980 in Kyiv, Ukraine",-,-,-,NMAU (2003) comp with L. Kolodub,KMS no. 3 (1998–?),-,joined (date unknown),"Mukha (33), NUCU website, 2006 (11)",-,-
"BONDARENKO, Andriy","Бондаренко, Андрій",Male,"June 22nd, 1978 in Brovary, Kyiv oblast, Ukraine",-,-,-,"NMAU (2000) pno, comp with I. Karabyts (2003) pno","KU (2001–), National Academy of Culture and Arts Management (2006–)",-,joined (2003),"Mukha (39), UMW, Vilkova (30-31), NUCU website, 2006",https://aib.at.ua and https://andrijbondarenko.wordpress.com,via email 
"BONDARENKO, Illia","Бондаренко, Ілля",Male,"October 15th, 2001 in Donetsk, Ukraine",-,-,-,"NMAU (2019–) vln, comp with H. Havrylets; Private studies: comp with A. Kobzar ",-,-,-,-,-,via email 
"BORTNYANSKY, Dmytro","Бортнянський, Дмитро",Male,"October 1751 in Hlukhiv, Sumy oblast, Ukraine","October 9th, 1825 in St Petersburg, Russia",-,Russia,"Hlukhiv Music School, in St Petersburg (1758–69) comp with M. Poltoratsky, in Italy (1769–79) comp with B. Galuppi",-,"choirboy in Russian Imperial Court Chapel in St Petersburg (1758–69), conductor at courthouse in Gatchina & Pavlovsk (1779–96), Court Chapel Choir in St Petersburg (1796–1825)",-,"Dytynyak (25), Grove, IEU, Kubikovyc (I: 278), Mukha (40–42), Musicalics, Ritzarev, Sonevytsky (35–37), UL, UMW, Vilkova (33–34), Vodarsky (25–26), VUE",-,-
"BOYKO, Oleg","Бойко, Олег ",Male,"1976 in Mariupol, Ukraine",-,"Brussels, Belgium (moved in 2022)",Belgium,"Chernihiv Music College (1996) gtr, NMAU (2001) gtr",Chernihiv Music College (2000-21),guitarist,-,-,https://www.boyko.cn.ua,via email
"BRUK, Fridrich","Брук, Фридрих",Male,"1937 in Kharkiv, Ukraine",-,Finland (moved in 1974),Finland,"KhNUA, SPSC",-,-,-,"Gnativ (22–23), Music Finland Core, Musicalics, Shank (85–86)",-,-
"BULHAKOV, Lev","Булгаков, Лев",Male,"March 23rd, 1920 in Kharkiv, Ukraine","February 4th, 2005 in Kharkiv, Ukraine",-,-,"MSC (1942) military band conducting, KhNUA (1949) comp with S. Bogatyrov & M. Tits","KhMS (1949–70), KhNUA (1982–96) theory",author of theory textbooks,joined (1962),"Dytynyak (26), ESU, Gnativ (24-25), Mukha (43), Shank (86), Sonevytskyi (39), UME (I: 283), 1968 (22), 1984 (20–21)",-,-
"BUYEVSKY, Borys","Буєвський, Борис",Male,"June 7th, 1935 in Kryvyi Rih, Dnipro oblast, Ukraine",-,Belgium,Belgium,KhNUA (1959) comp with D. Klebanov,DoMS (1959–61),-,joined (1961),"Dytynyak (26), ESU, Gnativ, (23), Grove, Karas, Korniy, Mukha (42–43), Sonevytskyi (38), UME (I: 279), UMW, Vilkova (34), VUE, NUCU website, 1968 (19), 1978 (17), 1984 (18), 2006 (101)",-,-
"CHAIKIN, Mykola","Чайкин, Микола",Male,"February 15th, 1915 in Kharkiv, Ukraine","February 17th, 2000 in Moscow, Russia",-,Russia,"NMAU (1940) pno, comp with V. Kosenko, B. Lyatoshynsky & L. Revutsky","NMAU (1938-51), GMI (1951-64), Gorky Conservatory (1964-?), Minsky Conservatory (1973-78)",director Kyiv War Orchestra,-,"Gnativ (25), Herman (I: 28), Ho (81-82), Mukha (317-18), Shank (88)",-,-
"CHEMBERZHI, Mykhaylo","Чембержі, Михайло",Male,"July 15th, 1944 in Izmail, Odesa oblast, Ukraine","March 5th, 2018 in Kyiv, Ukraine",-,-,"Odesa Music School (1967) acc, Kyiv Institute of Culture (1971) choral cond, DSMA (1987) comp with O. Rudyansky","Music Schools in Izmail & Kyiv (1967-82), director of Music Schools no. 5 & 35 in Kyiv (1982-89), founder of Kyiv Children’s Academy of Arts (1994)",Ministry of Culture (1989-94),joined (date unknown),"Gnativ (25-26), Sonevytsky (40), Vilkova (335-36), VUE, NUCU website",www.chemberzhi.com.ua,-
"CHERNENKO, Volodymyr","Черненко, Володимир",Male,"1972 in Kherson, Ukraine",-,-,-,"Kherson State Music School (1991) pno, KhNUA (1997) comp with I. Kovach, KhNUA (2001) Phd “Meta-Genre as a Cultural Phenomenon: Mystery, Liturgy, Opera”",KhNUA (2014–),for various theater companies in Kharkiv,-,UASP,-,via email 
"DEMCHENKO, Dmytro","Демченко, Дмитро",Male,"March 11th, 1989 in Dnipro, Ukraine",-,-,-,"DAM (2014) classical guitar, jazz, comp with O. Nezhihay, LNMA (2016) comp with O. Manulyak, DAM (2024) Phd with V. Martynyuk & L. Hontova “Composer’s Compositional Interpretation of the “New Sound” Concept in Electroacoustic Music of the Twenty-First Century”",DAM (2021–),Head of graduate students at DAM (2023–2024),"joined (April 4th, 2021)",NUCU Website,https://composerdmytrodemchenko.github.io/website/,via email 
"DENYSENKO, Maryna","Денисенко, Марина",Female,"January 29th, 1962 in Lviv, Ukraine (daughter of Gennadiy Liashenko)","July 15th, 2022 in Kaniv, Cherkasy Oblast, Ukraine",-,-,"GKIM (1980) pno, NMAU (1985) comp with A. Shtoharenko, (1990) assistantship with M. Skoryk, (2006) Phd supervisor I. Kotlyarevsky researching issue of timbre modality",NMAU (1987–2012),"director and pianist Kyiv Youth Theatre (1985–1986), poet",joined (1987),"ESU, Korniy, Morshchakova, Mukha (88), Rozhok, Sonevytskyi (48–49), UME (I: 595), UMW, NUCU website, 2006 (16)",-,via email with daughter Yaryna Denysenko
"DMYTRUK, Oleksandr","Дмитрук, Олександр",Male,"July 2nd, 1967 in Dnipro, Ukraine",-,-,-,"DnMS (1987) theory, KhNUA (1995) comp with V. Drobyazgina","Kharkiv Art School (1991–1994), DnMS (1996–2000)","pno & concertmaster for dance collective in Dnipro (1986), military musician (2000–)",joined (2002),"ESU, Mukha (92), UME (I: 624), NUCU website, 2006 (93)",-,-
"DOMINCHEN, Klymentiy","Доминчен, Климентій",Male,"December 8th, 1907 in Studene, Vinnytsia Oblast, Ukraine","March 6th, 1993 in Kyiv, Ukraine",-,-,"KLMS (1931) cond, comp with V. Zolotarov & B. Lyatoshynsky",LuC (1941) head of music department,conductor of various orchestras most notably Odesa Opera & Ballet (1932–1934) & Ukrainian Radio Symphony Orchestra (1945–1951),"joined (1942), on the board","Dytynyak (47), ESU, Ho (118), Korniy, Kubikovyc (I 718), Mukha (94), Rozhok, Sonevytskyi (50–51), UL, UME (I: 640–41), UMW, Vilkova (92), 1968 (60–61), 1978 (52–53), 1984 (57–59)",-,-
"DONNYK, Larysa","Донник, Лариса",Female,"June 18th, 1938 in Kharkiv, Ukraine","November 21st, 2002 in Kharkiv, Ukraine",-,-,"Kharkiv Engineering Institute (1961), KhNAU (1967) comp with V. Hubarenko",Kharkiv Music School no. 9 (1971-?) music theory & comp,-,joined (1968),"ESU, Mukha (94-95), Sonevystyky (51), UMW, Vilkova (92-93), NUCU website, 2006 (46, 50)",-,-
"DORFMAN, Joseph","Дорфман, Йосеф",Male,"August 3rd, 1940 in Odesa, Ukraine","June 7th, 2006 in Encino, USA",-,Israel (immigrated in 1973 for musical freedom),"ONMA (1965) pno, comp with O. Kogan, GMI (n.d.) comp with A. Litinsky, (1971) Phd “Cyclic Composition in Hindemith’s Chamber Music”","Rubin Academy of Music, TAU (1973) director (1985–) and guest professor at Columbia University, (1979–80), Bar-Ilan University, Frankfurt Hochschule (1984)","director of Young Composers of Odesa, secretary for Israel Composers’ League, founder of Acoustic 7-11, artistic director of International Festival of Jewish Art Music, piano soloist",-,"Gnativ (26), Grove, Ho (118-119), ICL, JMRC, Musicalics, LCP, Nelson, Piirainen, Shank (97)",-,-
"DREMLIUHA, Mykola","Дремлюга, Микола ",Male,"June 15th (July 22 Old Calendar), 1917 in Buturlinovka, Voronezh oblast, Russia","December 18th, 1998 in Kyiv, Ukraine",-,-,"Kyiv Polytechnic Institute (1941) engineering, NMAU (1946) comp with L. Revutsky NMAU (1949)",NMAU (1946-?) history & theory (1978-?) comp,"musicologist of journal articles, editor of collection “Ukrainian piano music”",oined (1944) (on the board),"Dytynyak (48), ESU, Ho (120), Mukha (95-96), Sonevytsky (53-4), UL, UME (I: 655), UMW, Vilkova (94), VUE",-,-
"DUBOVYK, Yevhenii","Дубовик, Євгеній",Male,"May 19th, 1996 in Pryluky, Chernihiv oblast, Ukraine",-,-,-,"Chernihiv Music College (2015) jazz pno, NMAU (2021) comp & electroacoustic music with I. Taranenko & A. Zagaykevych",-,Yevhenii Dubovyk Project (2022–),-,-,-,via email 
"DUDA, Serhiy","Дуда, Сергій",Male,unknown,unknown,-,-,-,KLMS (1888–?) & NMAU (1913–?) bsn,-,-,"Rozhok, Starko",-,-
"DUMA, Lyudmyla","Дума, Людмила",Female,"February 3rd, 1959 in Lviv, Ukraine",-,-,-,"LNMA (1983) comp with V. Flys, (1984) pno, SPSC (1990) comp with S. Slonimsky",-,"LNMA (1985-?), researched music psychology & therapy",joined (1989),"ESU, Gnativ (27), Mukha (98), Shank (99), Sonevytskyi (56), UME (I: 699), NUCU website, 2006 (60)",-,-
"DYCHKO, Lesia","Дичко, Леся",Female,"October 24th, 1939 in Kyiv",-,-,-,"NMAU (1964) comp with L. Dankevych & B. Lyatoshynsky, NMAU (1970) comp with B. Lyatoshynsky, MSC (1972) comp with N. Peiko","Kyiv Pedagogical Institute (1965-66), Kyiv Art Institute (1972-94), NMAU (1993-Present) music history, theory, and comp","head coordinator of All-Ukraine Musicians Union, Jury member of Leontovych Choral Competition, organizing committee for Kyiv-Music Fest, Premieres of the Season, and Zolotoverkhyi Kyiv, jury of World Choral Competition","joined 1968, secretary (1994-?)","Drabyna (37-68), Dytynyak (45-46), ESU, Gnativ (27-28), Grove, Ho (126), IEU, Kubikovyc (I: 773-74), Mukha (91-92), Musicalics, NMU, Shank (99), Sonevytsky (56-57), UASP, UL, UME (619-21), UMW, Vilkova (90-91), VUE, NUCU website, 1968 (54), 1978 (59-60), 1984 (64-66), 2006 (3-5, 7, 16)",-,-
"DYCK, Volodymyr (Vladimir)","Дик, Володимир",Male,"March 19th, 1882 in Odesa, Ukraine","August 5th, 1943 in Auschwitz, Poland (Arrested on June 10th, 1943 at his home alongside his wife and daughter. Deported to Auschwitz on July 31st, 1943) ",-,France (became citizen in 1910),Paris Conservatory (1900-?) comp with C.M. Widor,-,"comp, private pno teacher",-,"IEMJ, Musicalics, WRP",-,-
"EREMENKO, Serge","Яременко, Сергій",Male,"October 10th, 1912 in Staro-kozache, Besarabiya [Modern: Odesa oblast], Ukraine","November 19th, 1997 in Edmonton, Canada",-,Canada (moved in 1925) - Captured as a political prisoner during WWII and sent to the Netherlands prior to moving to Canada.,"Chernivsky Conservatory (1941) vln, comp with D. Onchul",Akkerman [Modern: Belgorod-Dniester] Music School (1941–?),"musician in Holland Symphony Orchestra (1944–52), choir conductor, one of the founders of the Ukrainian Music Society of Alberta",-,"CE, Dmytryk, Dytynyak (157), ESU, Gnativ (16), Karas, Mukha (343–44), Shank (59), UASP. UMW, Vilkova (357)",-,-
"FAINTUKH, Yakiv","Фаинтух, Яків",Male,"October 20th, 1892 in Berdychiv, Zhytomir oblast, Ukraine","July 23rd, 1974 in Odesa, Ukraine",-,-,"ONMA (1930) comp with V. Zolotarov & P. Molchanov, (1933) radio-communication",ONMA (1935–41),"Army (1914–17 & 1919–22), Odesa theatre ensembles (1933–37), Samarkanda Theatre (1941–45)","joined (date unknown), secretary of Odesa branch (1932–41 & 1945–52)","Dytynyak (141), Mukha (304), Sonevytskyi (59–60), UMW, 1968 (221–22)",-,-
"FANDEEV, Kirill","Фандеев, Кирилл",Male,"April 22nd, 1982 in Donetsk, Ukraine",-,-,-,"Donetsk Music School no. 3 (now no. 7) (1997) comp with V. Stetsenko & M. Shukh, DSMA (2001) vln, DSMA (2007) & (2012) comp with S. Mamonov",-,editor,joined (2009),"UMW, Vilkova (317-18), NUCU website",https://fandeev.musicaneo.com/about.html,via email
"FEDKO, Herman","Федько, Герман",Male,"December 20th, 2004 in Kharkiv, Ukraine",-,-,-,NMAU (2022–) comp with I. Shcherbakov,-,-,-,-,-,via email 
"FIALA, George","Фіяла, Юрій",Male,"March 31st, 1922 in Kyiv, Ukraine to musical family (parents were pianists)","January 6th, 2017 in Montréal, Canada",-,Canada (moved in 1949),"NMAU (1939–41)26 pno, comp with L. Revutsky, B. Lyatoshynsky & A. Olkhovsky, Berlin Music Academy (1945) Phd with H. Dombrowski “The Problems of Symphonic Composition in Soviet Russia”, Brussels Royal Music Conservatory (1946–1949) comp with L. Jorgen",-,"Announcer & Producer at CBC-Radio Canada International (1967–87), pno/org, cond",-,"Baley, Biernel, CE, Dytynyak (144–145), Gnativ (29–30), Grove, Herman (I: 41–42), Ho (143–144), IEU, Karas, Korniy, Kubikovyc (I: 881), LCP, Mukha (305–306), Musicalics, Shank (105–06), Sonevytskyi (61–63), UDC, UMW, Vilkova (321–22), 2006 (105)",-,-
"FICHER, Jacobo","Фишер, Яков",Male,"January 15th,1896 in Odesa, Ukraine to a musical family (father trombonist Odesa Philharmonic Orchestra)","September 9th, 1978 in Buenos Aires, Argentina",-,Argentina (moved in 1923),"SPSC (1917) vln, comp with V. Kalafati, M. Steinberg, N. Tcherepnin, & N. Sokolo","Asociación General de Músicos de la Argentina (1943–1956), Escuela Superior de Música de la Universidad de La Plata (1956–1958), Buenos Aires National Conservatory (1958-?)","concertmaster of Imperial Opera Orchestra (1919), musician at silent movies in Buenos Aires, conductor of various orchestras in Argentina, founder of Grupo Renovación (1929), founder of Argentinian Composer’s League (1947), musical advisor for Fondo Nacional de las Artes (1958)",-,"Ewen (92–93), Grove, Ho (148), Library of Congress, Musicalics, Shank (108), Slonimsky (II: 402)",-,-
"FIL, Marian","Філь, Мар'ян",Male,"August 24th, 2000 in Lviv, Ukraine",-,-,-,"Drohobych State Music College (2019) acc, LNMA (2023) comp with B. Frolyak, (2023–)",-,-,-,UCMF. UL,-,via email 
"FROLYAK, Bohdana","Фроляк, Богдана",Female,"May 5th, 1968 in Vydyniv, Ivano-Frankivsk Oblast, Ukraine (sister Hanna Havrylets)",-,-,-,LNMA (1991) comp with V. Flys & M. Skoryk,LNMA (1991–),-,joined (1995),"Gnativ (30–31), Karas, Korniy, Mukha (311), NMU, UL, UMW, Vilkova (324), VUE, NUCU website, 2006 (64)",-,via email 
"GLIÈRE, Reinhold","Глієр, Рейнголдь",Male,"January 11th, 1875 in Kyiv, Ukraine","June 23rd, 1956 in Moscow, Russia",-,Russia,"KLMS (1894), MSC (1900) vln, comp with A. Arsenky, M. Ippolitov-Ivanov, G. Konyus, and S. Tanneyev, studies in Berlin (1905–07)","Director of NMAU (1914–1920), MSC (1920–1941)","Director of Soviet Composers Association (1938–1948), cond, pno, folklorist",-,"Baley, Belza, Bohdanova-Berezovska, Hakobian, Gnativ (31–32), Grove, Herman (I: 63–67), Ho (174–175), IEU, Karas, Korniy, Kubikovyc (II: 62), Moisenko, Mukha (67–68), Musicalics, Olkhovsky, Petrova, Piirainen, Rozhok, Schwarz, Shank (114–15), Slonimsky (II: 594–95),  UME (I: 468), Vilkova (63), Vodarsky (48–49), VUE, WRP",-,-
"GOMELSKAYA, Julia","Гомельська, Юлія",Female,"March 11th, 1964 in Saratov, Russia","December 4th, 2016 in Odesa, Ukraine",-,-,"ONMA (1990) comp with A. Krasotov, Guildhall School of Music and Drama (1995), University of London (1996) Phd with R. Saxton",ONMA (1991–2016),-,joined (1995),"ESU, Gnativ (32–33), Karas, Korniy, LCP, Musicalics, NMU, Shank (116–17), UME (I: 493–94), Vilkova (68), VUE, NUCU website, 2006 (79–80)",https://web.archive.org/web/20111005095838/http://www.juliagomelskaya.org.ua,-
"GONCHARENKO, Viktor","Гончаренко, Віктор",Male,"April 29, 1959 in Dnipro, Ukraine",-,-,-,"Dnipro Music College (1997) choral cond, NMAU (1983) organ, comp with V. Kyreiko",-,"music editor for «Muzychna Ukraina» publishing house (1983-94), music editor for Music Information Center at NUCU (1994-95), research fellow at Ukrainian Center for Cultural Research (1995-99), editor at SAN Publishing house (1997-1999), editor at Kareta Publishing (2001-2006), web programming specialist (2006-2025)",joined (1988),"ESU, Gnativ (37-38), Mukha (73), Shank (117), Sonevytsky (80-81), UME (I: 496), UMW, NUCU website, 2006 (13-14)",-,via email
"GONOBOLIN, Aleksandr","Гоноболін, Олександр",Male,"November 27th, 1953 in Medvedevo, Russia",-,"Rouen, France (2022-)",France,NMAU (1978) comp with O. Parkhomenko,Sukhum College,"concertmaster State Symphony Orchestra of Abkhazia, vln with various orchestras Sukhum, Kherson & Mykolaiv, cond Mykolaiv Chamber Orchestra “Capriccio” (renamed “ARS-NOVA Chamber Orchestra”), board member of Kherson Community Foundation “Zakhyst”",joined (2017),"ESU, UL, UMW, NUCU website",https://gonobolin.pp.ua,-
