composer,composer_cyrillic,gender,birth,death,currently,diaspora,studied,taught,worked,member_of_National_Union_of_Composers_of_Ukraine,sources,personal_website,in_contact
"LEVYCH, Oleksandr","Левич, Олександр",Male,"October 7th, 1907 in Kharkiv, Ukraine","December 12th, 1994 in Kyiv, Ukraine",-,-,"KhNUA (1932–34) comp with S. Bogatyrov, NMAU (1938) comp with L. Revutsky",KMS no. 1 (1946–76) solfège,-,joined (1938),"Dytynyak (84), ESU, Mukha (173), Shank (174–75), Sonevytskyi (161), UME (III: 56–57), 1968 (127), 1978 (119–20), 1984 (138–39)",-,-
"LIASHENKO, Gennadiy","Ляшенко, Геннадій",Male,"June 1st, 1938 in Nogaysk, Zaporizhzhia Oblast, Ukraine","July 21st, 2017 in Kyiv, Ukraine",-,-,"LNMA (1968) comp with A. Soltys, NMAU (1971), (1972) Phd musicology “The Role of the Fugue in Dramatic Non-Polyphonic Forms” supervisor N. Gerasymova-Persydska","LNMA (1966–68), NMAU (1971-2015)",-,"joined (1968), on the board (1974-2010)","Y. Denysenko, Dytynyak (94), ESU, Karas, Lunyna (499–526), Korniy, Mukha (190–191), Rozhok, Shank (177), Sonevytskyi (164), UL, UME (III: 255–256), UMW, Vilkova (185–6), VUE, NUCU website, 1978 (124–125), 1984 (143–144), 2006 (28)",-,via email with granddaughter Yaryna Denysenko
"LISUN, Alex","Лісун, Олександр",Male,"1980 in a village near Cherkasy, Ukraine",-,-,-,"Cherkasy Music College (1999) instrumental performance, KU (2004)","Cherkassy Music College (2008–11), Cherkassy Children’s Music School (2009–15, 2017–) cond Children Symphony & Children’s Alex Band","multi-instrumentalist (brass) musician with Ukrainian Electro Folk Band “ONUKA” (2017–), Cherkassy Jazz Orchestra (2020–22), Cherkassy Regional Philharmonic (2007–15, 17–22), Kyiv Municipal Opera & Ballet (2002–07), National Academic Wind Orchestra of Ukraine (1999–2001)",-,Gnativ (49),http://alexlisun.com,via email 
"LOGINOV, Boris","Логінов, Борис",Male,"October 27th, 1990 in Kyiv, Ukraine",-,"Freiburg, Germany",Germany,"NMAU (2013) pno, (2014) comp with L. Kolodub, (2017), The Fryderyk Chopin University of Music (2019) comp with M. Błażewicz, Hochschule für Musik Freiburg (2023-) comp with. A. Grebtschenko",-,-,-,UCMF,https://www.doremifakus.com/,via email 
"LOHIN, Vitaliy","Логін, Віталій",Male,"March 4th, 1980 in Budenets, Chernivtsi oblast, Ukraine",-,-,-,"Chernivtsi School of Arts (2001) pno, National Music Academy of Romania (2003) pno","private pno lessons (2001–), Chudey School of Arts () head of pno department",writing pno educational materials,-,-,-,via email 
"LOMOV, Nathan","Ломов, Натан",Male,"2002 in Irpin, Kyiv oblast, Ukraine",-,-,-,"GKIM (2022), LNMA (2022–) comp with B. Frolyak",KMS no. 32 (2022–) music theory,-,-,-,-,via email 
"LOZYNSKY, Ivan","Лозинський, Іван",Male,"c. 1770 in Rozhytsi (Rozhyshche), Volyn oblast, Ukraine","c. 1850 in Kharkiv, Ukraine",-,-,Warsaw (1791),"Music Schools in Uman (1799-1801), Kursk (1811-15); Kharkiv University (1815-37)","played flute, clarinet, bassoon, violin, author of first “Violin School of Playing” in Ukraine",-,"Mukha (182-83), Sonevytsky (172), UMW, Vilkova (177)",-,-
"LUNYOV, Svyatoslav","Луньов, Святослав",Male,"April 19th, 1964 in Kyiv, Ukraine",-,-,-,NMAU (1993) comp with L. Kolodub,NMAU (1999–) comp & Music Information Technologies,-,joined (1994),"ESU, Korniy, Mukha (184), NMU, UCMF, UL, UME (III: 203–204), UMW, Vilkova (179), NUCU website, 2006 (27)",https://www.lunyov.com/,via email 
"LYATOSHYNSKY, Borys","Лятошинський, Борис",Male,"January 3rd, 1895 in Zhytomyr, Ukraine","April 15th, 1968 in Kyiv, Ukraine",-,-,"KU (1918) law, NMAU (1919) comp with R. Glière","NMAU (1920–1935 & 1944–1968), MSC (1935–38 & 1941–44)","artistic director of Kyiv State Philharmonic (1944), jury member of various competitions such as Lysenko and Tchaikovsky, President of Kyiv branch of the Association of Contemporary Music (1922–1925)","joined (date unknown), President (1939–41)","Baley, Belza, Dytynyak (92–93), ESU, Gnativ (49–50) Grove, Hakobian, Herman (II: 46), Hrysenko, IEU, Ho (322–324), Klopoushak (Chapter 3), Karas, Korniy, Mukha (188–190), Musicalics, Olkhovsky, Rozhok, Shank (180), Slonimsky (IV:19) Sonevytsky (164–167), Struk (III: 113–114), UASP, UCMF, UL, UME (III: 248–255), UMW, Vodarsky (83), Vilkova (183–85), Yaremenko (16),  NUCU website, 1968 (136–137)",-,-
"LYONKO, Yevhen","Льонко, Євген",Male,"October 24th, 1949 in Novhorodske, Donetsk oblast, Ukraine","October 2nd, 2006 in Kyiv, Ukraine",-,-,"NMAU (1978) org, comp with A. Shtoharenko",-,music editor Muzychna Ukraina (1978–82),joined (1982),"Dytynyak (94), ESU, Mukha (184–185), Rozhok, Shank (178), Sonevytskyi (170–171), UMW, Vilkova (180), NUCU website, 1984 (140), 2006 (27)",-,-
